aeropuerto,vuelo,aerolinea,origen,hora_04sep,hora_baseline,delta_min,clasificacion,confianza,en_franja_paro,hora_estimada_04sep,demora_est_min,codigos_compartidos,n_baselines,nota
EZE,AR 1981,AEROLINEAS ARGENTINAS,RGA,08:15,08:15,0,CANCELADO,alta,NO,,,,5,
AEP,AR 1365,AEROLINEAS ARGENTINAS,LIM,,04:05,,AUSENTE,alta,NO,,,,3,
AEP,G3 7662,GOL LINHAS AÉREAS,GIG,,08:00,,AUSENTE,alta,NO,,,,3,
AEP,AR 1671,AEROLINEAS ARGENTINAS,BRC,,13:05,,AUSENTE,alta,NO,,,,4,
AEP,AR 1265,AEROLINEAS ARGENTINAS,GIG,,17:30,,AUSENTE,alta,NO,,,,4,
AEP,AR 1769,AEROLINEAS ARGENTINAS,PSS,,23:25,,AUSENTE,alta,NO,,,,3,
AEP,WJ 3815,JETSMART AIRLINES,GIG,,23:30,,AUSENTE,alta,NO,,,,4,
EZE,DM 6206,ARAJET,PUJ,,00:05,,AUSENTE,alta,NO,,,,5,
EZE,H8 5800,SKY AIRLINE PERU,SCL,,04:00,,AUSENTE,alta,NO,,,,4,
EZE,LR 0647,AVIANCA COSTA RICA (LACSA),UIO,,05:00,,AUSENTE,alta,NO,,,,5,
EZE,PU 501,PLUS ULTRA,MAD,,06:45,,AUSENTE,alta,NO,,,,6,
EZE,AC 090,AIR CANADA,YYZ,,14:30,,AUSENTE,alta,NO,,,,4,
EZE,AR 1375,AEROLINEAS ARGENTINAS,AUA,,17:00,,AUSENTE,alta,NO,,,,5,
EZE,LL 2603,LEVEL,BCN,,18:00,,AUSENTE,alta,SI,,,,5,
EZE,AR 1329,AEROLINEAS ARGENTINAS,PUJ,,19:55,,AUSENTE,alta,SI,,,,4,
EZE,WJ 3075,JETSMART AIRLINES,MDZ,,23:58,,AUSENTE,alta,NO,,,,5,
AEP,WJ 3021,JETSMART AIRLINES,SLA,,00:09,,AUSENTE,media,NO,,,,3,
AEP,WJ 3235,JETSMART AIRLINES,TUC,,00:23,,AUSENTE,media,NO,,,,3,
AEP,LP 2445,LATAM PERU,LIM,,08:30,,AUSENTE,media,NO,08:05,,H8 5811,3,
AEP,AR 1669,AEROLINEAS ARGENTINAS,BRC,,12:05,,AUSENTE,media,NO,,,,4,
AEP,AR 1647,AEROLINEAS ARGENTINAS,NQN,,18:35,,AUSENTE,media,SI,,,,3,
EZE,DM 6266,ARAJET,PUJ,,08:15,,AUSENTE,media,NO,,,,4,
