fecha,dia,aeropuerto,hora,vuelo,aerolinea,destino_iata,destino,estado,en_franja_paro_viernes
03-09-2026,jueves,EZE,01:25,AR 1960,AEROLINEAS ARGENTINAS,BPS,Porto Seguro,On Time,
03-09-2026,jueves,EZE,02:25,JJ 8131,LATAM BRASIL,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,EZE,02:55,AR 1958,AEROLINEAS ARGENTINAS,BPS,Porto Seguro,On Time,
03-09-2026,jueves,AEP,04:10,WJ 3832,JETSMART AIRLINES,NAT,Natal,On Time,
03-09-2026,jueves,AEP,04:15,WJ 3812,JETSMART AIRLINES,GIG,Río de Janeiro,On Time,
03-09-2026,jueves,AEP,06:00,AR 1260,AEROLINEAS ARGENTINAS,GIG,Río de Janeiro,On Time,
03-09-2026,jueves,AEP,06:20,AR 1242,AEROLINEAS ARGENTINAS,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,AEP,09:00,G3 7649,GOL LINHAS AÉREAS,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,AEP,09:50,AR 1264,AEROLINEAS ARGENTINAS,GIG,Río de Janeiro,On Time,
03-09-2026,jueves,AEP,10:20,G3 7651,GOL LINHAS AÉREAS,GIG,Río de Janeiro,On Time,
03-09-2026,jueves,AEP,10:20,JJ 8139,LATAM BRASIL,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,AEP,11:45,JJ 8193,LATAM BRASIL,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,AEP,12:55,JJ 8033,LATAM BRASIL,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,EZE,13:25,G3 7653,GOL LINHAS AÉREAS,GIG,Río de Janeiro,On Time,
03-09-2026,jueves,AEP,13:30,G3 7641,GOL LINHAS AÉREAS,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,AEP,14:55,JJ 8045,LATAM BRASIL,GIG,Río de Janeiro,On Time,
03-09-2026,jueves,AEP,15:55,WJ 3814,JETSMART AIRLINES,GIG,Río de Janeiro,On Time,
03-09-2026,jueves,AEP,16:40,AR 1250,AEROLINEAS ARGENTINAS,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,EZE,16:45,JJ 8023,LATAM BRASIL,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,AEP,17:30,AR 1268,AEROLINEAS ARGENTINAS,GIG,Río de Janeiro,On Time,
03-09-2026,jueves,AEP,18:20,G3 7643,GOL LINHAS AÉREAS,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,AEP,18:20,JJ 8035,LATAM BRASIL,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,EZE,18:30,G3 7655,GOL LINHAS AÉREAS,GIG,Río de Janeiro,On Time,
03-09-2026,jueves,AEP,18:30,AR 1232,AEROLINEAS ARGENTINAS,POA,Porto Alegre,On Time,
03-09-2026,jueves,AEP,19:10,AR 1220,AEROLINEAS ARGENTINAS,SSA,Salvador de Bahía,On Time,
03-09-2026,jueves,AEP,19:40,AR 1240,AEROLINEAS ARGENTINAS,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,AEP,20:30,G3 7607,GOL LINHAS AÉREAS,FLN,Florianópolis,On Time,
03-09-2026,jueves,AEP,21:45,JJ 8141,LATAM BRASIL,GRU,San Pablo-Guarulhos,On Time,
03-09-2026,jueves,AEP,22:25,G3 7213,GOL LINHAS AÉREAS,SSA,Salvador de Bahía,On Time,
04-09-2026,viernes,EZE,01:25,AR 1960,AEROLINEAS ARGENTINAS,BPS,Porto Seguro,On Time,NO
04-09-2026,viernes,EZE,02:25,JJ 8131,LATAM BRASIL,GRU,San Pablo-Guarulhos,On Time,NO
04-09-2026,viernes,EZE,02:55,AR 1958,AEROLINEAS ARGENTINAS,BPS,Porto Seguro,On Time,NO
04-09-2026,viernes,AEP,03:15,G3 7645,GOL LINHAS AÉREAS,GRU,San Pablo-Guarulhos,On Time,NO
